experiment,case,instance_class,N,target_kappa,eps_target,seeds,actual_kappa_mean,actual_kappa_sd,iterations_mean,iterations_sd,runtime_sec_mean,runtime_sec_sd,fwd_phases,rev_phases,cs_violation_max
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1e-06,30,1.9426175951957703,0.045164476908043434,422.1333333333333,103.63787529374721,0.029296862574604652,0.006534707001668196,27,27,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1e-05,30,1.9426175951957703,0.045164476908043434,389.8666666666667,90.71772565009793,0.027285941736772658,0.005496504939990653,24,24,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.0001,30,1.9426175951957703,0.045164476908043434,347,74.56540752922899,0.024358276363151767,0.0048347439687922876,20,20,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.001,30,1.9426175951957703,0.045164476908043434,313.6666666666667,62.87444156649704,0.022390556956330934,0.004137623232406101,17,17,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.01,30,1.9426175951957703,0.045164476908043434,277.26666666666665,49.614328668192236,0.02013441122447451,0.003260913044314633,14,14,0.0
baseline,CSA-linear(kappa=2),CSA-linear,50,2,0.1,30,1.9426175951957703,0.045164476908043434,192.36666666666667,36.50742327284944,0.013381683461678525,0.0023019392281737245,10,10,0.0
baseline,LTU(kappa=10),LTU,50,10,1e-06,30,9.96836125055949,0.028031019268557524,312.1,119.8223829185343,0.02374130693109085,0.008192603205048115,27,27,0.0
baseline,LTU(kappa=10),LTU,50,10,1e-05,30,9.96836125055949,0.028031019268557524,288.3666666666667,108.58541317333092,0.021440359608580668,0.0072151662115532735,24,24,0.0
baseline,LTU(kappa=10),LTU,50,10,0.0001,30,9.96836125055949,0.028031019268557524,255.86666666666667,94.02080963105008,0.018480536085553466,0.006081000899813715,20,20,0.0
baseline,LTU(kappa=10),LTU,50,10,0.001,30,9.96836125055949,0.028031019268557524,230.23333333333332,82.68914924159549,0.016472651506774127,0.00527783471406007,17,17,0.0
