experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,total_iters,fwd_phases,rev_phases,runtime_sec,cs_violation,matched_pairs
baseline,TU,TU,50,1,1.0,0.1,1,139,10,10,0.010407875059172511,0.0,50
baseline,TU,TU,50,1,1.0,0.1,2,136,10,10,0.009143749950453639,0.0,50
baseline,TU,TU,50,1,1.0,0.1,3,161,10,10,0.011195915983989835,0.0,50
baseline,TU,TU,50,1,1.0,0.1,4,161,10,10,0.011139667127281427,0.0,50
baseline,TU,TU,50,1,1.0,0.1,5,160,10,10,0.010710207978263497,0.0,50
baseline,TU,TU,50,1,1.0,0.1,6,149,10,10,0.010808082995936275,0.0,50
baseline,TU,TU,50,1,1.0,0.1,7,144,10,10,0.009931958047673106,0.0,50
baseline,TU,TU,50,1,1.0,0.1,8,223,10,10,0.014706915942952037,0.0,50
baseline,TU,TU,50,1,1.0,0.1,9,151,10,10,0.010654499987140298,0.0,50
baseline,TU,TU,50,1,1.0,0.1,10,188,10,10,0.012226457940414548,0.0,50
baseline,TU,TU,50,1,1.0,0.1,11,218,10,10,0.014319374924525619,0.0,50
baseline,TU,TU,50,1,1.0,0.1,12,130,10,10,0.008758791955187917,0.0,50
baseline,TU,TU,50,1,1.0,0.1,13,155,10,10,0.010391917079687119,0.0,50
baseline,TU,TU,50,1,1.0,0.1,14,195,10,10,0.012708625057712197,0.0,50
baseline,TU,TU,50,1,1.0,0.1,15,168,10,10,0.01180416694842279,0.0,50
baseline,TU,TU,50,1,1.0,0.1,16,223,10,10,0.015123624820262194,0.0,50
baseline,TU,TU,50,1,1.0,0.1,17,180,10,10,0.01278612483292818,0.0,50
baseline,TU,TU,50,1,1.0,0.1,18,285,10,10,0.019206542056053877,0.0,50
baseline,TU,TU,50,1,1.0,0.1,19,166,10,10,0.01187779102474451,0.0,50
baseline,TU,TU,50,1,1.0,0.1,20,139,10,10,0.009691249812021852,0.0,50
baseline,TU,TU,50,1,1.0,0.1,21,127,10,10,0.009039459051564336,0.0,50
baseline,TU,TU,50,1,1.0,0.1,22,168,10,10,0.011383167002350092,0.0,50
baseline,TU,TU,50,1,1.0,0.1,23,140,10,10,0.009490541880950332,0.0,50
baseline,TU,TU,50,1,1.0,0.1,24,172,10,10,0.011011250084266067,0.0,50
baseline,TU,TU,50,1,1.0,0.1,25,202,10,10,0.013363333884626627,0.0,50
baseline,TU,TU,50,1,1.0,0.1,26,142,10,10,0.009775665821507573,0.0,50
baseline,TU,TU,50,1,1.0,0.1,27,213,10,10,0.013814291916787624,0.0,50
baseline,TU,TU,50,1,1.0,0.1,28,153,10,10,0.010065667098388076,0.0,50
baseline,TU,TU,50,1,1.0,0.1,29,187,10,10,0.012436416000127792,0.0,50
baseline,TU,TU,50,1,1.0,0.1,30,174,10,10,0.011726582888513803,0.0,50
baseline,TU,TU,50,1,1.0,0.01,1,193,14,14,0.0128735420294106,0.0,50
baseline,TU,TU,50,1,1.0,0.01,2,277,14,14,0.0183810000307858,0.0,50
baseline,TU,TU,50,1,1.0,0.01,3,254,14,14,0.017150041181594133,0.0,50
baseline,TU,TU,50,1,1.0,0.01,4,290,14,14,0.018951499834656715,0.0,50
baseline,TU,TU,50,1,1.0,0.01,5,211,14,14,0.013751707971096039,0.0,50
baseline,TU,TU,50,1,1.0,0.01,6,227,14,14,0.014976333128288388,0.0,50
baseline,TU,TU,50,1,1.0,0.01,7,209,14,14,0.013724209042266011,0.0,50
baseline,TU,TU,50,1,1.0,0.01,8,269,14,14,0.01725441706366837,0.0,50
baseline,TU,TU,50,1,1.0,0.01,9,274,14,14,0.017441791016608477,0.0,50
baseline,TU,TU,50,1,1.0,0.01,10,272,14,14,0.017867666902020574,0.0,50
baseline,TU,TU,50,1,1.0,0.01,11,216,14,14,0.01407066686078906,0.0,50
baseline,TU,TU,50,1,1.0,0.01,12,222,14,14,0.01514599984511733,0.0,50
baseline,TU,TU,50,1,1.0,0.01,13,252,14,14,0.016354041872546077,0.0,50
baseline,TU,TU,50,1,1.0,0.01,14,224,14,14,0.01455487497150898,0.0,50
baseline,TU,TU,50,1,1.0,0.01,15,254,14,14,0.01621304196305573,0.0,50
baseline,TU,TU,50,1,1.0,0.01,16,297,14,14,0.01931416685692966,0.0,50
baseline,TU,TU,50,1,1.0,0.01,17,268,14,14,0.017359582940116525,0.0,50
baseline,TU,TU,50,1,1.0,0.01,18,262,14,14,0.01704745809547603,0.0,50
baseline,TU,TU,50,1,1.0,0.01,19,271,14,14,0.018161166924983263,0.0,50
baseline,TU,TU,50,1,1.0,0.01,20,361,14,14,0.022393499966710806,0.0,50
baseline,TU,TU,50,1,1.0,0.01,21,179,14,14,0.011974124936386943,0.0,50
baseline,TU,TU,50,1,1.0,0.01,22,226,14,14,0.01450974983163178,0.0,50
baseline,TU,TU,50,1,1.0,0.01,23,242,14,14,0.015505125047639012,0.0,50
baseline,TU,TU,50,1,1.0,0.01,24,241,14,14,0.015652833972126245,0.0,50
baseline,TU,TU,50,1,1.0,0.01,25,258,14,14,0.016383916838094592,0.0,50
baseline,TU,TU,50,1,1.0,0.01,26,233,14,14,0.014880208997055888,0.0,50
baseline,TU,TU,50,1,1.0,0.01,27,235,14,14,0.015002249972894788,0.0,50
baseline,TU,TU,50,1,1.0,0.01,28,288,14,14,0.01804350013844669,0.0,50
baseline,TU,TU,50,1,1.0,0.01,29,213,14,14,0.013672749977558851,0.0,50
baseline,TU,TU,50,1,1.0,0.01,30,261,14,14,0.016427791910246015,0.0,50
baseline,TU,TU,50,1,1.0,0.001,1,217,17,17,0.014141792198643088,0.0,50
baseline,TU,TU,50,1,1.0,0.001,2,308,17,17,0.01950187492184341,0.0,50
baseline,TU,TU,50,1,1.0,0.001,3,277,17,17,0.01759283314459026,0.0,50
baseline,TU,TU,50,1,1.0,0.001,4,312,17,17,0.019680459052324295,0.0,50
baseline,TU,TU,50,1,1.0,0.001,5,224,17,17,0.014954583020880818,0.0,50
baseline,TU,TU,50,1,1.0,0.001,6,271,17,17,0.01765287504531443,0.0,50
baseline,TU,TU,50,1,1.0,0.001,7,234,17,17,0.015522875124588609,0.0,50
baseline,TU,TU,50,1,1.0,0.001,8,300,17,17,0.01966595812700689,0.0,50
baseline,TU,TU,50,1,1.0,0.001,9,358,17,17,0.022746166912838817,0.0,50
baseline,TU,TU,50,1,1.0,0.001,10,302,17,17,0.019794292049482465,0.0,50
baseline,TU,TU,50,1,1.0,0.001,11,246,17,17,0.016095958882942796,0.0,50
baseline,TU,TU,50,1,1.0,0.001,12,245,17,17,0.01628608303144574,0.0,50
baseline,TU,TU,50,1,1.0,0.001,13,318,17,17,0.02025575004518032,0.0,50
baseline,TU,TU,50,1,1.0,0.001,14,242,17,17,0.01604837505146861,0.0,50
baseline,TU,TU,50,1,1.0,0.001,15,286,17,17,0.01859654113650322,0.0,50
baseline,TU,TU,50,1,1.0,0.001,16,327,17,17,0.02077862503938377,0.0,50
baseline,TU,TU,50,1,1.0,0.001,17,304,17,17,0.019913834054023027,0.0,50
baseline,TU,TU,50,1,1.0,0.001,18,281,17,17,0.01837333315052092,0.0,50
baseline,TU,TU,50,1,1.0,0.001,19,294,17,17,0.01913133286871016,0.0,50
baseline,TU,TU,50,1,1.0,0.001,20,389,17,17,0.024673334090039134,0.0,50
baseline,TU,TU,50,1,1.0,0.001,21,203,17,17,0.01365533284842968,0.0,50
baseline,TU,TU,50,1,1.0,0.001,22,251,17,17,0.016479166923090816,0.0,50
baseline,TU,TU,50,1,1.0,0.001,23,342,17,17,0.021721709053963423,0.0,50
baseline,TU,TU,50,1,1.0,0.001,24,275,17,17,0.01737899985164404,0.0,50
baseline,TU,TU,50,1,1.0,0.001,25,287,17,17,0.01841500005684793,0.0,50
baseline,TU,TU,50,1,1.0,0.001,26,287,17,17,0.01963683287613094,0.0,50
baseline,TU,TU,50,1,1.0,0.001,27,259,17,17,0.016707916976884007,0.0,50
baseline,TU,TU,50,1,1.0,0.001,28,332,17,17,0.02174312504939735,0.0,50
baseline,TU,TU,50,1,1.0,0.001,29,243,17,17,0.016078291926532984,0.0,50
baseline,TU,TU,50,1,1.0,0.001,30,284,17,17,0.01836362504400313,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,1,241,20,20,0.01594124990515411,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,2,344,20,20,0.022075125016272068,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,3,310,20,20,0.019858833169564605,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,4,336,20,20,0.021403332939371467,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,5,236,20,20,0.015653250040486455,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,6,313,20,20,0.020095291081815958,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,7,264,20,20,0.020248542074114084,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,8,330,20,20,0.021814499981701374,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,9,446,20,20,0.028149582911282778,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,10,332,20,20,0.0215811668895185,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,11,276,20,20,0.018084416165947914,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,12,269,20,20,0.017694834154099226,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,13,384,20,20,0.024232415948063135,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,14,260,20,20,0.017131875036284328,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,15,316,20,20,0.020814290968701243,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,16,357,20,20,0.023462959099560976,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,17,334,20,20,0.02237412496469915,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,18,299,20,20,0.019761541858315468,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,19,318,20,20,0.02109433407895267,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,20,410,20,20,0.02645545802079141,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,21,227,20,20,0.015455290907993913,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,22,275,20,20,0.01853137486614287,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,23,440,20,20,0.02825166587717831,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,24,308,20,20,0.020323375007137656,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,25,319,20,20,0.02116295788437128,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,26,349,20,20,0.022989375051110983,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,27,283,20,20,0.018143832916393876,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,28,388,20,20,0.024850833928212523,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,29,273,20,20,0.018095582956448197,0.0,50
baseline,TU,TU,50,1,1.0,0.0001,30,308,20,20,0.020151915960013866,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,1,273,24,24,0.01832729112356901,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,2,410,24,24,0.026296500116586685,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,3,350,24,24,0.02314345887862146,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,4,368,24,24,0.023465832928195596,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,5,252,24,24,0.016840749885886908,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,6,369,24,24,0.023669709218665957,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,7,304,24,24,0.019746124977245927,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,8,370,24,24,0.023465458070859313,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,9,558,24,24,0.034438416827470064,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,10,372,24,24,0.024394999956712127,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,11,316,24,24,0.021539042005315423,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,12,301,24,24,0.020947958109900355,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,13,472,24,24,0.030968625098466873,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,14,284,24,24,0.020003458950668573,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,15,356,24,24,0.023988625034689903,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,16,397,24,24,0.02737179188989103,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,17,374,24,24,0.025550958001986146,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,18,323,24,24,0.022056750021874905,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,19,350,24,24,0.023134791990742087,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,20,446,24,24,0.029744416940957308,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,21,259,24,24,0.01754320808686316,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,22,307,24,24,0.020365457981824875,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,23,576,24,24,0.03614904196001589,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,24,352,24,24,0.022933959029614925,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,25,359,24,24,0.023288499796763062,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,26,429,24,24,0.027898124884814024,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,27,315,24,24,0.02084437501616776,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,28,452,24,24,0.029335542116314173,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,29,311,24,24,0.020569249987602234,0.0,50
baseline,TU,TU,50,1,1.0,1e-05,30,341,24,24,0.022620625095441937,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,1,297,27,27,0.01987679093144834,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,2,458,27,27,0.02983195800334215,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,3,380,27,27,0.024760499829426408,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,4,392,27,27,0.025926666101440787,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,5,264,27,27,0.0180355419870466,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,6,411,27,27,0.026159584056586027,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,7,334,27,27,0.02181412512436509,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,8,400,27,27,0.02561037498526275,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,9,642,27,27,0.03974320809356868,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,10,402,27,27,0.02575279213488102,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,11,346,27,27,0.02325204201042652,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,12,325,27,27,0.022411833982914686,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,13,538,27,27,0.03511916589923203,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,14,302,27,27,0.020724625093862414,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,15,386,27,27,0.025864499853923917,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,16,427,27,27,0.02787412516772747,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,17,404,27,27,0.026168499840423465,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,18,341,27,27,0.02264345809817314,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,19,374,27,27,0.024146792013198137,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,20,479,27,27,0.030298541067168117,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,21,283,27,27,0.018797958036884665,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,22,331,27,27,0.02160737500526011,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,23,678,27,27,0.04291970795020461,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,24,385,27,27,0.02849262487143278,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,25,389,27,27,0.027380374958738685,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,26,489,27,27,0.03191795805469155,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,27,339,27,27,0.02354995789937675,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,28,500,27,27,0.03246191702783108,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,29,341,27,27,0.022437917068600655,0.0,50
baseline,TU,TU,50,1,1.0,1e-06,30,366,27,27,0.02430983306840062,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9017305374145508,0.1,1,234,10,10,0.016125167021527886,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.971927285194397,0.1,2,134,10,10,0.01015500002540648,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9265098571777344,0.1,3,163,10,10,0.011663167038932443,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.974908709526062,0.1,4,212,10,10,0.014641708927229047,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9728790521621704,0.1,5,231,10,10,0.015777959022670984,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.8598841428756714,0.1,6,182,10,10,0.012728999834507704,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9099600315093994,0.1,7,200,10,10,0.013714791974052787,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9786659479141235,0.1,8,235,10,10,0.015954250004142523,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.981182336807251,0.1,9,185,10,10,0.012760000070556998,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.8124560117721558,0.1,10,168,10,10,0.011773667065426707,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.989508032798767,0.1,11,121,10,10,0.008899792097508907,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.974238395690918,0.1,12,168,10,10,0.011670000152662396,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.875627040863037,0.1,13,199,10,10,0.013522292021661997,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9244816303253174,0.1,14,219,10,10,0.014721082989126444,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9816420078277588,0.1,15,146,10,10,0.010236917063593864,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9985407590866089,0.1,16,186,10,10,0.012617792002856731,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9696245193481445,0.1,17,199,10,10,0.013490041019394994,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.913219690322876,0.1,18,253,10,10,0.01692158286459744,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.924095630645752,0.1,19,154,10,10,0.010717040859162807,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.889137864112854,0.1,20,233,10,10,0.015655749943107367,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9328501224517822,0.1,21,161,10,10,0.01157437521032989,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9831669330596924,0.1,22,174,10,10,0.012274208944290876,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9755913019180298,0.1,23,185,10,10,0.01306524989195168,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9443129301071167,0.1,24,162,10,10,0.01148095796816051,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9377446174621582,0.1,25,269,10,10,0.018417791929095984,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.992347240447998,0.1,26,172,10,10,0.012383291963487864,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9933745861053467,0.1,27,250,10,10,0.017395916860550642,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9416714906692505,0.1,28,185,10,10,0.013141416944563389,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.905202865600586,0.1,29,177,10,10,0.012618249980732799,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9420462846755981,0.1,30,214,10,10,0.015352042159065604,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9017305374145508,0.01,1,294,14,14,0.021447957959026098,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.971927285194397,0.01,2,224,14,14,0.016778209013864398,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9265098571777344,0.01,3,333,14,14,0.023532707942649722,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.974908709526062,0.01,4,258,14,14,0.018538958858698606,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9728790521621704,0.01,5,276,14,14,0.019088458037003875,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.8598841428756714,0.01,6,278,14,14,0.02062937500886619,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9099600315093994,0.01,7,260,14,14,0.019263791851699352,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9786659479141235,0.01,8,296,14,14,0.021636958932504058,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.981182336807251,0.01,9,306,14,14,0.022659291978925467,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.8124560117721558,0.01,10,228,14,14,0.016477459110319614,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.989508032798767,0.01,11,144,14,14,0.011162334121763706,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.974238395690918,0.01,12,246,14,14,0.018021708820015192,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.875627040863037,0.01,13,282,14,14,0.021509583108127117,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9244816303253174,0.01,14,270,14,14,0.019994708010926843,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9816420078277588,0.01,15,230,14,14,0.01806574990041554,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9985407590866089,0.01,16,265,14,14,0.01933200005441904,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9696245193481445,0.01,17,358,14,14,0.025037750136107206,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.913219690322876,0.01,18,311,14,14,0.022161207860335708,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.924095630645752,0.01,19,225,14,14,0.016588165890425444,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.889137864112854,0.01,20,361,14,14,0.02629462513141334,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9328501224517822,0.01,21,208,14,14,0.015940374927595258,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9831669330596924,0.01,22,319,14,14,0.023196791065856814,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9755913019180298,0.01,23,331,14,14,0.02339600003324449,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9443129301071167,0.01,24,261,14,14,0.018558582989498973,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9377446174621582,0.01,25,325,14,14,0.02237579203210771,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.992347240447998,0.01,26,272,14,14,0.019584584049880505,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9933745861053467,0.01,27,355,14,14,0.024744959082454443,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9416714906692505,0.01,28,294,14,14,0.021228249883279204,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.905202865600586,0.01,29,216,14,14,0.01586491707712412,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9420462846755981,0.01,30,292,14,14,0.02092108386568725,0.0,50
baseline,CSA-linear(kappa=2),CSA-linear,50,2,1.9017305374145508,0.001,1,312,17,17,0.022682332899421453,0.0,50
