experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,0.1,1,True,0.0,0.1,96,6,4,0.049163166899234056,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,2,True,0.0,0.1,134,6,4,0.01002670917659998,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,3,True,0.0,0.1,123,6,4,0.009133291896432638,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,4,True,0.0,0.1,106,6,4,0.008866041200235486,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,5,True,0.0,0.1,114,6,4,0.009220333071425557,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,6,True,0.0,0.1,224,6,4,0.016395749989897013,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,7,True,0.0,0.1,68,6,4,0.005284374812617898,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,8,True,0.0,0.1,118,6,4,0.010655374964699149,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,9,True,0.0,0.1,115,6,4,0.009581791935488582,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,10,True,0.0,0.1,133,6,4,0.010129374917596579,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,11,True,0.0,0.1,260,7,4,0.02150337491184473,50,False,False,True,0.10000038146972656,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,12,True,0.0,0.1,147,6,4,0.011413499945774674,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,13,True,0.0,0.1,84,6,4,0.00722762499935925,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,14,True,0.0,0.1,101,6,4,0.007679749978706241,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,15,True,0.0,0.1,130,6,4,0.00990608287975192,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,16,True,0.0,0.1,133,6,4,0.010291666956618428,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,17,True,0.0,0.1,149,6,4,0.012935790931805968,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,18,True,0.0,0.1,154,6,4,0.012732041999697685,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,19,True,0.0,0.1,175,6,4,0.014760416001081467,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,20,True,0.0,0.1,156,6,4,0.013757041189819574,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,21,True,0.0,0.1,142,6,4,0.011858750134706497,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,22,True,0.0,0.1,117,6,4,0.00989333400502801,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,23,True,0.0,0.1,160,6,4,0.011749542085453868,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,24,True,0.0,0.1,98,6,4,0.00801099999807775,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,25,True,0.0,0.1,159,6,4,0.012264207936823368,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,26,True,0.0,0.1,121,6,4,0.00954741588793695,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,27,True,0.0,0.1,118,6,4,0.009732583072036505,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,28,True,0.0,0.1,143,6,4,0.010574499843642116,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,29,True,0.0,0.1,169,6,4,0.013474291190505028,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,30,True,0.0,0.1,130,6,4,0.009661083109676838,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,1,True,0.0,0.01,912,9,6,0.08260220801457763,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
